time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0.001,0.001,0.001,0.001,0.0,,,,,,8192,64,64,16,1,4096,1,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.001,0.002,0.0018000000000000002,0.002,0.0004,,,,,,8192,64,64,16,1,4096,2,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.012,0.012,0.012,0.012,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,3,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,4,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,5,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.02,0.021,0.020800000000000003,0.021,0.00040000000000000034,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,6,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,7,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.028,0.028,0.028000000000000004,0.028,3.469446951953614e-18,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,8,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.029,0.029,0.029000000000000005,0.029,3.469446951953614e-18,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,9,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,10,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.035,0.035,0.035,0.035,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,11,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.037,0.038,0.0376,0.038,0.000489897948556636,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,12,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.038,0.038,0.038,0.038,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,13,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.043000000000000003,0.044,0.0432,0.043000000000000003,0.0003999999999999976,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,14,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.045,0.045,0.045,0.045,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,15,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.048,0.048,0.048,0.048,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,16,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,17,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.056,0.057,0.056600000000000004,0.057,0.000489897948556636,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,18,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.058,0.059000000000000004,0.05820000000000001,0.058,0.00040000000000000034,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,19,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.06,0.061,0.0602,0.06,0.00040000000000000034,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,20,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.066,0.067,0.0666,0.067,0.000489897948556636,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,21,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.066,0.067,0.0666,0.067,0.000489897948556636,0.002,0.003,0.0022,0.002,0.0004,,,,,,8192,64,64,16,1,4096,22,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.069,0.069,0.069,0.069,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,23,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.07200000000000001,0.073,0.0726,0.073,0.0004898979485566293,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,24,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.074,0.075,0.0746,0.075,0.000489897948556636,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,25,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.08,0.081,0.0806,0.081,0.000489897948556636,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,26,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.082,0.083,0.08280000000000001,0.083,0.00040000000000000034,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,27,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.083,0.084,0.0834,0.083,0.000489897948556636,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,28,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.08600000000000001,0.08700000000000001,0.08680000000000002,0.08700000000000001,0.00040000000000000034,0.002,0.003,0.0022,0.002,0.0004,,,,,,8192,64,64,16,1,4096,29,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.09,0.091,0.09019999999999999,0.09,0.00040000000000000034,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,30,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.095,0.095,0.095,0.095,0.0,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,31,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.097,0.098,0.0972,0.097,0.00040000000000000034,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,32,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.099,0.1,0.0992,0.099,0.00040000000000000034,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,33,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.10300000000000001,0.105,0.10400000000000001,0.10400000000000001,0.0006324555320336721,0.002,0.003,0.0022,0.002,0.0004,,,,,,8192,64,64,16,1,4096,34,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.107,0.108,0.1072,0.107,0.00040000000000000034,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,35,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.109,0.11,0.1092,0.109,0.00040000000000000034,0.002,0.003,0.0022,0.002,0.0004,,,,,,8192,64,64,16,1,4096,36,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.11,0.111,0.11040000000000001,0.11,0.000489897948556636,0.002,0.003,0.0022,0.002,0.0004,,,,,,8192,64,64,16,1,4096,37,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.112,0.114,0.11300000000000002,0.113,0.0006324555320336764,0.002,0.003,0.0022,0.002,0.0004,,,,,,8192,64,64,16,1,4096,38,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.116,0.117,0.11660000000000001,0.117,0.000489897948556636,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,39,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.11800000000000001,0.11900000000000001,0.11880000000000002,0.11900000000000001,0.00040000000000000034,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,40,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.122,0.123,0.12279999999999999,0.123,0.00040000000000000034,0.002,0.003,0.0024000000000000002,0.002,0.0004898979485566356,,,,,,8192,64,64,16,1,4096,41,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.125,0.126,0.1258,0.126,0.00040000000000000034,0.002,0.003,0.0024000000000000002,0.002,0.0004898979485566356,,,,,,8192,64,64,16,1,4096,42,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.128,0.129,0.12840000000000001,0.128,0.000489897948556636,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,43,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.13,0.131,0.1308,0.131,0.00040000000000000034,0.002,0.003,0.0026000000000000003,0.003,0.0004898979485566357,,,,,,8192,64,64,16,1,4096,44,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.133,0.133,0.133,0.133,0.0,0.002,0.003,0.0028,0.003,0.0004,,,,,,8192,64,64,16,1,4096,45,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.135,0.136,0.1358,0.136,0.00040000000000000034,0.002,0.002,0.002,0.002,0.0,,,,,,8192,64,64,16,1,4096,46,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.139,0.14,0.1398,0.14,0.00040000000000000034,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,47,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.14100000000000001,0.14300000000000002,0.14200000000000002,0.14200000000000002,0.0006324555320336764,0.002,0.003,0.0027999999999999995,0.003,0.0004,,,,,,8192,64,64,16,1,4096,48,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.14300000000000002,0.145,0.14420000000000002,0.14400000000000002,0.000748331477354777,0.002,0.003,0.0026000000000000003,0.003,0.0004898979485566356,,,,,,8192,64,64,16,1,4096,49,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.147,0.148,0.1472,0.147,0.00040000000000000034,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,50,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.15,0.152,0.1504,0.15,0.0008000000000000007,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,51,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.152,0.153,0.1524,0.152,0.000489897948556636,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,52,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.155,0.156,0.1554,0.155,0.000489897948556636,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,53,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.158,0.159,0.1582,0.158,0.00040000000000000034,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,54,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.161,0.161,0.161,0.161,0.0,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,55,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.163,0.165,0.164,0.164,0.0006324555320336764,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,56,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.166,0.166,0.166,0.166,0.0,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,57,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.168,0.169,0.16820000000000002,0.168,0.00040000000000000034,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,58,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.171,0.17200000000000001,0.1718,0.17200000000000001,0.00040000000000000034,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,59,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.17400000000000002,0.17500000000000002,0.17420000000000002,0.17400000000000002,0.00040000000000000034,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,60,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.176,0.177,0.17639999999999997,0.176,0.0004898979485566361,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,61,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.179,0.18,0.1794,0.179,0.000489897948556636,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,62,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.183,0.183,0.183,0.183,0.0,0.003,0.003,0.003,0.003,0.0,,,,,,8192,64,64,16,1,4096,63,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.184,0.185,0.18439999999999998,0.184,0.0004898979485566361,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,64,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.187,0.188,0.1874,0.187,0.000489897948556636,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,65,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.19,0.191,0.19040000000000004,0.19,0.000489897948556636,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,66,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.193,0.194,0.19340000000000002,0.193,0.000489897948556636,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,67,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.195,0.196,0.19580000000000003,0.196,0.00040000000000000034,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,68,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.198,0.199,0.1982,0.198,0.00040000000000000034,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,69,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.2,0.201,0.20080000000000003,0.201,0.00040000000000000034,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,70,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.203,0.20500000000000002,0.20380000000000004,0.20400000000000001,0.0007483314773547889,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,71,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.20600000000000002,0.20700000000000002,0.2064,0.20600000000000002,0.0004898979485566361,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,72,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.20800000000000002,0.209,0.2088,0.209,0.00039999999999998923,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,73,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.211,0.212,0.2118,0.212,0.00040000000000000034,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,74,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.216,0.216,0.21600000000000003,0.216,2.7755575615628914e-17,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,75,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.217,0.219,0.21800000000000003,0.218,0.0006324555320336764,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,76,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.219,0.22,0.21960000000000002,0.22,0.000489897948556636,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,77,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.222,0.223,0.2226,0.223,0.000489897948556636,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,78,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.225,0.227,0.22600000000000003,0.226,0.0006324555320336764,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,79,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.227,0.228,0.22760000000000002,0.228,0.0004898979485566361,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,80,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.23,0.231,0.2306,0.231,0.000489897948556636,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,81,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.233,0.234,0.23320000000000002,0.233,0.00040000000000000034,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,82,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.23600000000000002,0.23800000000000002,0.23680000000000004,0.23700000000000002,0.0007483314773547889,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,83,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.23800000000000002,0.24,0.23900000000000002,0.23900000000000002,0.0006324555320336676,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,84,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.24,0.241,0.2408,0.241,0.00040000000000000034,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,85,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.244,0.244,0.244,0.244,0.0,0.004,0.005,0.004200000000000001,0.004,0.0004,,,,,,8192,64,64,16,1,4096,86,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.247,0.248,0.24779999999999996,0.248,0.00040000000000000034,0.004,0.005,0.004200000000000001,0.004,0.0004,,,,,,8192,64,64,16,1,4096,87,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.25,0.251,0.2502,0.25,0.0004000000000000003,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,88,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.252,0.253,0.2522,0.252,0.0004000000000000003,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,89,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.254,0.255,0.2548,0.255,0.00040000000000000034,0.004,0.005,0.004200000000000001,0.004,0.0004,,,,,,8192,64,64,16,1,4096,90,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.258,0.259,0.25860000000000005,0.259,0.0004898979485566361,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,91,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.26,0.261,0.26080000000000003,0.261,0.00040000000000000034,0.004,0.005,0.004200000000000001,0.004,0.0004,,,,,,8192,64,64,16,1,4096,92,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.263,0.264,0.2632,0.263,0.0004000000000000003,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,93,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.266,0.267,0.2662,0.266,0.0004000000000000003,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,94,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.269,0.27,0.2692,0.269,0.00040000000000000034,0.004,0.005,0.004200000000000001,0.004,0.0004,,,,,,8192,64,64,16,1,4096,95,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.271,0.272,0.2714,0.271,0.0004898979485566361,0.004,0.005,0.004200000000000001,0.004,0.0004,,,,,,8192,64,64,16,1,4096,96,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.273,0.274,0.27380000000000004,0.274,0.0004000000000000003,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,97,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.276,0.277,0.2766,0.277,0.000489897948556636,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,98,0,32,False,AttentionBackend.FLASH_ATTENTION
0.0,0.0,0.0,0.0,0.0,0.28,0.281,0.28040000000000004,0.28,0.000489897948556636,0.004,0.004,0.004,0.004,0.0,,,,,,8192,64,64,16,1,4096,99,0,32,False,AttentionBackend.FLASH_ATTENTION
